time,temperature
6567,305.15
6581,305.15
6595,305.15
6609,305.15
6622,305.15
6636,305.15
6650,305.15
6664,305.15
6678,305.15
6692,305.15
6706,305.15
6720,305.15
6734,305.15
6747,305.15
6761,305.15
6775,305.15
6789,305.15
6803,305.15
6817,305.15
6831,305.15
6845,304.15
6858,305.15
6872,304.15
6886,305.15
6900,305.15
6914,305.15
6928,305.15
6942,305.15
6956,304.15
6970,305.15
6983,305.15
6997,304.15
7011,304.15
7025,304.15
7039,304.15
7053,304.15
7067,304.15
7081,304.15
7095,304.15
7108,304.15
7122,304.15
7136,304.15
7150,304.15
7164,304.15
7178,304.15
7192,304.15
7206,304.15
7219,304.15
7233,304.15
7247,304.15
7261,304.15
7275,304.15
7289,304.15
7303,304.15
7317,304.15
7331,304.15
7344,304.15
7358,304.15
7372,304.15
7386,304.15
7400,304.15
7414,304.15
7428,304.15
7442,304.15
7455,304.15
7469,304.15
7483,304.15
7497,304.15
7511,304.15
7525,304.15
7539,304.15
7553,304.15
7567,304.15
7580,304.15
7594,304.15
7608,304.15
7622,304.15
7636,304.15
7650,304.15
7664,304.15
7678,304.15
7691,304.15
7705,304.15
7719,304.15
7733,304.15
7747,304.15
7761,304.15
7775,304.15
7789,304.15
7803,304.15
7816,304.15
7830,304.15
7844,304.15
7858,304.15
7872,304.15
7886,304.15
7900,304.15
7914,304.15
7927,304.15
7941,304.15
7955,304.15
7969,304.15
7983,304.15
7997,304.15
8011,304.15
8025,304.15
8039,304.15
8052,304.15
8066,304.15
8080,304.15
8094,304.15
8108,304.15
8122,304.15
8136,304.15
8150,304.15
8164,304.15
8177,304.15
8191,304.15
8205,304.15
8219,304.15
8233,304.15
8247,304.15
8261,304.15
8275,304.15
8288,304.15
8302,304.15
8316,304.15
8330,304.15
8344,304.15
8358,304.15
8372,304.15
8386,304.15
8400,304.15
8413,304.15
8427,304.15
8441,304.15
8455,304.15
8469,304.15
8483,304.15
8497,304.15
8511,304.15
8524,304.15
8538,304.15
8552,304.15
8566,304.15
8580,304.15
8594,304.15
8608,304.15
8622,304.15
8636,304.15
8649,304.15
8663,304.15
8677,304.15
8691,304.15
8705,304.15
8719,304.15
8733,304.15
8747,304.15
8760,304.15
8774,304.15
8788,304.15
8802,304.15
8816,304.15
8830,304.15
8844,304.15
8858,304.15
8872,304.15
8885,304.15
8899,304.15
8913,304.15
8927,304.15
8941,304.15
8955,304.15
8969,304.15
8983,304.15
8996,304.15
9010,304.15
9024,304.15
9038,304.15
9052,304.15
9066,304.15
9080,304.15
9094,304.15
9108,304.15
9121,304.15
9135,304.15
9149,304.15
9163,304.15
9177,304.15
9191,304.15
9205,304.15
9219,304.15
9233,304.15
9246,304.15
9260,304.15
9274,304.15
9288,304.15
9302,304.15
9316,304.15
9330,304.15
9344,304.15
9357,304.15
9371,304.15
9385,304.15
9399,304.15
9413,304.15
9427,304.15
9441,304.15
9455,304.15
9469,304.15
9482,304.15
9496,304.15
9510,304.15
9524,304.15
9538,304.15
9552,304.15
9566,304.15
9580,304.15
9593,304.15
9607,304.15
9621,304.15
9635,304.15
9649,304.15
9663,304.15
9677,304.15
9691,304.15
9705,304.15
9718,304.15
9732,304.15
9746,304.15
9760,304.15
9774,304.15
9788,304.15
9802,304.15
9816,304.15
9829,304.15
9843,304.15
9857,304.15
9871,304.15
9885,304.15
9899,304.15
9913,304.15
9927,304.15
9941,304.15
9954,304.15
9968,304.15
9982,304.15
9996,304.15
10010,304.15
10024,304.15
10038,304.15
10052,304.15
10065,304.15
10079,304.15
10093,304.15
10107,304.15
10121,304.15
10135,304.15
10149,304.15
10163,304.15
10177,304.15
10190,304.15
10204,304.15
10218,304.15
10232,304.15
10246,304.15
10260,304.15
10274,304.15
10288,304.15
10302,304.15
10315,304.15
10329,304.15
10343,304.15
10357,304.15
10371,304.15
10385,304.15
10399,304.15
10413,304.15
10426,304.15
10440,304.15
10454,304.15
10468,304.15
10482,304.15
10496,304.15
10510,304.15
10524,304.15
10538,304.15
10551,304.15
10565,304.15
10579,304.15
10593,304.15
10607,304.15
10621,304.15
10635,304.15
10649,304.15
10662,304.15
10676,304.15
10690,304.15
10704,304.15
10718,304.15
