x, current_density, J_max, J_min
9.200000000000000000e+01,3.287844594107179260e+10,3.182054701113159180e+10,9.954856281748403549e+09
9.600000000000000000e+01,3.152819133721213531e+10,3.046791443705992508e+10,8.594379421149587631e+09
1.000000000000000000e+02,3.022981268725231171e+10,2.917277977085889435e+10,7.419831642381752968e+09
1.040000000000000000e+02,2.898143850679798126e+10,2.793269888285659409e+10,6.405803014212914467e+09
1.080000000000000000e+02,2.778126140365698624e+10,2.674533153881093979e+10,5.530356244542406082e+09
1.120000000000000000e+02,2.662753595125493622e+10,2.560843698350719452e+10,4.774552093420431137e+09
1.160000000000000000e+02,2.551857663119562531e+10,2.451986971208863831e+10,4.122039645326980114e+09
1.200000000000000000e+02,2.445275584543785477e+10,2.347757542114001465e+10,3.558702576742664337e+09
1.240000000000000000e+02,2.342850199299219894e+10,2.247958713188309479e+10,3.072353766435037136e+09
1.280000000000000000e+02,2.244429761022633743e+10,2.152402147816788864e+10,2.652471641720489025e+09
1.320000000000000000e+02,2.149867757337411499e+10,2.060907515225452423e+10,2.289972556869665146e+09
1.360000000000000000e+02,2.059022735914492416e+10,1.973302150167841339e+10,1.977014279336369991e+09
1.400000000000000000e+02,1.971758136366890335e+10,1.889420727077629471e+10,1.706826332470483303e+09
1.440000000000000000e+02,1.887942127625003433e+10,1.809104948072405243e+10,1.473563524383113146e+09
1.480000000000000000e+02,1.807447450621724701e+10,1.732203244219829941e+10,1.272179494236817122e+09
1.520000000000000000e+02,1.730151266225198364e+10,1.658570489502422714e+10,1.098317540286688089e+09
1.560000000000000000e+02,1.655935008159201050e+10,1.588067726941170692e+10,9.482163678680133820e+08
1.600000000000000000e+02,1.584684240661887360e+10,1.520561906361117363e+10,8.186287183013732433e+08
1.640000000000000000e+02,1.516288520929863167e+10,1.455925633304055595e+10,7.067511183492141962e+08
1.680000000000000000e+02,1.450641265991097641e+10,1.394036928614470100e+10,6.101632304377310276e+08
1.720000000000000000e+02,1.387639623977587700e+10,1.334778998245041275e+10,5.267754915588970780e+08
1.760000000000000000e+02,1.327184349611130714e+10,1.278040012847291946e+10,4.547839080831608772e+08
1.800000000000000000e+02,1.269179683746119499e+10,1.223712896731422424e+10,3.926310285228374004e+08
1.840000000000000000e+02,1.213533236874171638e+10,1.171695125797079277e+10,3.389722499387817383e+08
1.880000000000000000e+02,1.160155876432363892e+10,1.121888534053709602e+10,2.926467290699023604e+08
1.920000000000000000e+02,1.108961617776515961e+10,1.074199128365375519e+10,2.526522688827175796e+08
1.960000000000000000e+02,1.059867518751323891e+10,1.028536911070426750e+10,2.181236372416030765e+08
2.000000000000000000e+02,1.012793577677503967e+10,9.848157101412839890e+09,1.883138486501869261e+08
2.040000000000000000e+02,9.676626346761869431e+09,9.429530165638092041e+09,1.625780041168402433e+08
2.080000000000000000e+02,9.244002762208055496e+09,9.028698286293853760e+09,1.403593395391480327e+08
2.120000000000000000e+02,8.829347427967054367e+09,8.644905028458469391e+09,1.211771807809097767e+08
2.160000000000000000e+02,8.431968395769460678e+09,8.277426111859131813e+09,1.046165448642180264e+08
2.200000000000000000e+02,8.051198500096960068e+09,7.925568044037250519e+09,9.031916231088910997e+07
2.240000000000000000e+02,7.686394522288306236e+09,7.588666811615440369e+09,7.797572641237989068e+07
2.280000000000000000e+02,7.336936381808235168e+09,7.266086627196333885e+09,6.731920175044928491e+07
2.320000000000000000e+02,7.002226353976872444e+09,6.957218729528385162e+09,5.811904720644175261e+07
2.360000000000000000e+02,6.681688313167037010e+09,6.661480234674426079e+09,5.017622848093354702e+07
2.400000000000000000e+02,6.374767000670936584e+09,6.378313036014921188e+09,4.331891222559129447e+07
2.440000000000000000e+02,6.080927316440381050e+09,6.107182751010025024e+09,3.739874863495457172e+07
2.480000000000000000e+02,5.799653633923223495e+09,5.847577712732869148e+09,3.228766207647837698e+07
2.520000000000000000e+02,5.530449137246379852e+09,5.599008004270879745e+09,2.787508032796841860e+07
2.560000000000000000e+02,5.272835179992708206e+09,5.361004534172912598e+09,2.406554248028855026e+07
2.600000000000000000e+02,5.026350664916625977e+09,5.133118151197425842e+09,2.077663375518538430e+07
2.640000000000000000e+02,4.790551443879736900e+09,4.914918796691063881e+09,1.793720256049398705e+07
2.680000000000000000e+02,4.565009737369601250e+09,4.705994692998068810e+09,1.548582121085386351e+07
2.720000000000000000e+02,4.349313572970579147e+09,4.505951566368887901e+09,1.336945701347574219e+07
2.760000000000000000e+02,4.143066242164950371e+09,4.314411902901514053e+09,1.154232496949512325e+07
2.800000000000000000e+02,3.945885774874449730e+09,4.131014236111384869e+09,9.964897270483473316e+06
2.840000000000000000e+02,3.757404431179825783e+09,3.955412464785350323e+09,8.603048161763243377e+06
2.880000000000000000e+02,3.577268209648163795e+09,3.787275199832419395e+09,7.427315672670952976e+06
2.920000000000000000e+02,3.405136371748090267e+09,3.626285138898675442e+09,6.412264242188922130e+06
2.960000000000000000e+02,3.240680981830723286e+09,3.472138467566141129e+09,5.535934451116233133e+06
3.000000000000000000e+02,3.083586462166190624e+09,3.324544286005581856e+09,4.779367956395060755e+06
3.040000000000000000e+02,2.933549162571080685e+09,3.183224060001235485e+09,4.126197350116762798e+06
3.080000000000000000e+02,2.790276944142447948e+09,3.047911095311467171e+09,3.562292070299697574e+06
3.120000000000000000e+02,2.653488776653364658e+09,2.918350034373372078e+09,3.075452703143490478e+06
3.160000000000000000e+02,2.522914349172145844e+09,2.794296374401538849e+09,2.655147063356003258e+06
3.200000000000000000e+02,2.398293693479136944e+09,2.675516005971552849e+09,2.292282342967663892e+06
3.240000000000000000e+02,2.279376819875830650e+09,2.561784771217441082e+09,1.979008399346349062e+06
3.280000000000000000e+02,2.165923364984780788e+09,2.452888040809340477e+09,1.708547926785058342e+06
3.320000000000000000e+02,2.057702251162888527e+09,2.348620308913063049e+09,1.475049837628626963e+06
3.360000000000000000e+02,1.954491357152921915e+09,2.248784805367170334e+09,1.273462681016122922e+06
3.400000000000000000e+02,1.856077199617213011e+09,2.153193124345691204e+09,1.099425360805380624e+06
3.440000000000000000e+02,1.762254625205633163e+09,2.061664868805699587e+09,9.491727884931542212e+05
3.480000000000000000e+02,1.672826512821215391e+09,1.974027310048766851e+09,8.194544300450711744e+05
3.520000000000000000e+02,1.587603485761448383e+09,1.890115061753821850e+09,7.074639844938366441e+05
3.560000000000000000e+02,1.506403633416342497e+09,1.809769767866279125e+09,6.107786729865712114e+05
3.600000000000000000e+02,1.429052242223384857e+09,1.732839803754420757e+09,5.273068248727038736e+05
3.640000000000000000e+02,1.355381535581742287e+09,1.659179990069060802e+09,4.552426269203504780e+05
3.680000000000000000e+02,1.285230422442744970e+09,1.588651318766513586e+09,3.930270567147926777e+05
3.720000000000000000e+02,1.218444254299215555e+09,1.521120690777818441e+09,3.393141550800318364e+05
3.760000000000000000e+02,1.154874590307694435e+09,1.456460664829153776e+09,2.929419078677452053e+05
3.800000000000000000e+02,1.094378970284507990e+09,1.394549216939435720e+09,2.529071071761032217e+05
3.840000000000000000e+02,1.036820695325415015e+09,1.335269510141229153e+09,2.183436481510933663e+05
3.880000000000000000e+02,9.820686158067529202e+08,1.278509673990393877e+09,1.885037918477017083e+05
3.920000000000000000e+02,9.299969265332920551e+08,1.224162593448371887e+09,1.627419887954439328e+05
3.960000000000000000e+02,8.804849688057810068e+08,1.172125706738691092e+09,1.405009133105101646e+05
4.000000000000000000e+02,8.334170391880915165e+08,1.122300811796221972e+09,1.212994064236245031e+05
4.040000000000000000e+02,7.886822047612115145e+08,1.074593880943914652e+09,1.047220665833421954e+05
4.080000000000000000e+02,7.461741246575119495e+08,1.028914883447285891e+09,9.041026294214460358e+04
