x, lambda_eff
8.300000000000000000e+01,8.352073514150568201e+01
8.400000000000000000e+01,8.350921706099290986e+01
8.500000000000000000e+01,8.349766396987064354e+01
8.600000000000000000e+01,8.348607594674669485e+01
8.700000000000000000e+01,8.347445307041618889e+01
8.800000000000000000e+01,8.346279541986149297e+01
8.900000000000000000e+01,8.345110307425171925e+01
9.000000000000000000e+01,8.343937611294273893e+01
9.100000000000000000e+01,8.342761461547654278e+01
9.200000000000000000e+01,8.341581866158141167e+01
9.300000000000000000e+01,8.340398833117113497e+01
9.400000000000000000e+01,8.339212370434516686e+01
9.500000000000000000e+01,8.338022486138795841e+01
9.600000000000000000e+01,8.336829188276918501e+01
9.700000000000000000e+01,8.335632484914290785e+01
9.800000000000000000e+01,8.334432384134768768e+01
9.900000000000000000e+01,8.333228894040615842e+01
1.000000000000000000e+02,8.332022022752470036e+01
1.010000000000000000e+02,8.330811778409334067e+01
1.020000000000000000e+02,8.329598169168522759e+01
1.030000000000000000e+02,8.328381203205658778e+01
1.040000000000000000e+02,8.327160888714624321e+01
1.050000000000000000e+02,8.325937233907546897e+01
1.060000000000000000e+02,8.324710247014762388e+01
1.070000000000000000e+02,8.323479936284795144e+01
1.080000000000000000e+02,8.322246309984316781e+01
1.090000000000000000e+02,8.321009376398134805e+01
1.100000000000000000e+02,8.319769143829151403e+01
1.110000000000000000e+02,8.318525620598333603e+01
1.120000000000000000e+02,8.317278815044696216e+01
1.130000000000000000e+02,8.316028735525262050e+01
1.140000000000000000e+02,8.314775390415044853e+01
1.150000000000000000e+02,8.313518788107006685e+01
1.160000000000000000e+02,8.312258937012035176e+01
1.170000000000000000e+02,8.310995845558923634e+01
1.180000000000000000e+02,8.309729522194325568e+01
1.190000000000000000e+02,8.308459975382740481e+01
1.200000000000000000e+02,8.307187213606472653e+01
1.210000000000000000e+02,8.305911245365612672e+01
1.220000000000000000e+02,8.304632079178003323e+01
1.230000000000000000e+02,8.303349723579214015e+01
1.240000000000000000e+02,8.302064187122499561e+01
1.250000000000000000e+02,8.300775478378788819e+01
1.260000000000000000e+02,8.299483605936644892e+01
1.270000000000000000e+02,8.298188578402231030e+01
1.280000000000000000e+02,8.296890404399299257e+01
1.290000000000000000e+02,8.295589092569142053e+01
1.300000000000000000e+02,8.294284651570568201e+01
1.310000000000000000e+02,8.292977090079875779e+01
1.320000000000000000e+02,8.291666416790832272e+01
1.330000000000000000e+02,8.290352640414619145e+01
1.340000000000000000e+02,8.289035769679829002e+01
1.350000000000000000e+02,8.287715813332427217e+01
1.360000000000000000e+02,8.286392780135702196e+01
1.370000000000000000e+02,8.285066678870271062e+01
1.380000000000000000e+02,8.283737518334021388e+01
1.390000000000000000e+02,8.282405307342092726e+01
1.400000000000000000e+02,8.281070054726849605e+01
1.410000000000000000e+02,8.279731769337834635e+01
1.420000000000000000e+02,8.278390460041767085e+01
1.430000000000000000e+02,8.277046135722478937e+01
1.440000000000000000e+02,8.275698805280919146e+01
1.450000000000000000e+02,8.274348477635091115e+01
1.460000000000000000e+02,8.272995161720044166e+01
1.470000000000000000e+02,8.271638866487832331e+01
1.480000000000000000e+02,8.270279600907491613e+01
1.490000000000000000e+02,8.268917373964995932e+01
1.500000000000000000e+02,8.267552194663245757e+01
1.510000000000000000e+02,8.266184072022026896e+01
1.520000000000000000e+02,8.264813015077967862e+01
1.530000000000000000e+02,8.263439032884537028e+01
1.540000000000000000e+02,8.262062134511984368e+01
1.550000000000000000e+02,8.260682329047321559e+01
